"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Darwin Barney","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".298",".352",".649",".283","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","2430"
"Kyle Farmer","Dodgers","11","43","39","10","2","0","1","4","4","2","8","0","0","0","",".246",".293",".358",".651",".282","","74","0.0","-0.1","","-1.5","0.6","0.0","","999.0","14813"
"Ramon Torres","Royals","13","53","50","13","2","0","1","5","5","3","8","0","1","1","",".259",".297",".348",".645",".280","","70","-0.1","0.0","","-2.1","0.3","0.0","","666.3","14113"
"Andrew Burns","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".288",".357",".646",".280","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","12779"
"Christian Colon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".308",".327",".636",".279","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","11145"
"Adrian Sanchez","Nationals","8","32","30","8","2","0","0","3","3","2","6","0","1","0","",".254",".294",".347",".641",".278","","66","0.0","-0.1","","-1.4","0.1","0.0","","999.0","11338"
"Taylor Featherston","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".282",".359",".640",".277","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","12590"
"Phillip Evans","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".290",".342",".632",".276","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","12950"
"Alberto Callaspo","","24","98","87","20","4","0","1","9","9","8","16","1","1","1","",".232",".301",".325",".626",".276","","67","-0.6","-1.5","","-4.7","-1.1","-0.2","","999.0","3336"
"Andrew Romine","Mariners","32","121","110","26","5","0","2","12","11","8","26","1","3","1","",".239",".295",".332",".627",".276","","72","0.1","-0.1","","-4.2","0.7","0.1","","660.7","1159"
"Reid Brignac","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".295",".329",".624",".275","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","8380"
"Alex Mejia","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".288",".337",".625",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","13877"
"James Beresford","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".297",".320",".617",".272","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","4626"
"Matt Duffy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".277",".348",".625",".271","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","12181"
"Josh Rutledge","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".288",".328",".616",".270","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","11167"
"Gordon Beckham","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".280",".342",".622",".270","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","9015"
"Adam Rosales","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".268",".357",".625",".269","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","9682"
"Chase d'Arnaud","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".289",".323",".612",".268","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","6652"
"Donovan Solano","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".282",".333",".615",".267","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","8623"
"Jonathan Herrera","","40","164","151","36","7","1","2","14","14","9","32","1","2","1","",".236",".282",".326",".608",".266","","60","-0.3","-2.8","","-8.6","-0.8","-0.4","","999.0","4182"
"Daniel Muno","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".291",".300",".591",".265","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","12214"
"Deven Marrero","Red Sox","12","44","41","9","2","0","1","4","4","3","12","0","1","0","",".224",".272",".318",".590",".258","","52","0.0","-0.1","","-2.6","0.2","-0.1","","670.1","13325"
"Juniel Querecuto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".270",".297",".567",".250","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","12140"
"Pete Kozma","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".270",".291",".561",".249","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","2539"
"Yadiel Rivera","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".240",".271",".511",".224","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","11863"
